length_group,tool,n,auc_pr,auc_roc,issr_10
9-mer,SESTRAV RF (30-feat),399,0.8215311516968584,0.6323737373737373,0.8461538461538461
9-mer,Binding-only (max),411,0.8321058493632747,0.6384032634032634,0.8536585365853658
9-mer,PredIG-Path (max),411,0.8332779020147069,0.6033249158249159,0.8780487804878049
9-mer,PRIME 2.1 (max),411,0.8184221726895544,0.5899378399378399,0.9024390243902439
non-9-mer,SESTRAV RF (30-feat),305,0.843008376593406,0.8007551487414187,0.8333333333333334
non-9-mer,Binding-only (max),309,0.7129456043339192,0.5592111160914388,0.8
non-9-mer,PredIG-Path (max),309,0.5398940750921457,0.3629986553115195,0.36666666666666664
non-9-mer,PRIME 2.1 (max),309,0.6901425370120903,0.5448901837740923,0.7333333333333333
