tool,n_peptides,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,delta_auc_pr_vs_prev,delta_issr10_vs_prev
Binding-only (max),720,0.6334638543090392,0.7999163084426053,0.8611111111111112,0.8388888888888889,0.8611111111111112,0.1225296442687747,0.8600628697246168,0.8388888888888889,0.2984189723320158,0.8427663540900383,0.09713853066482758,0.15833333333333344
PredIG-Path (max),720,0.5070278157437849,0.7313689249611223,0.7916666666666666,0.7222222222222222,0.7916666666666666,0.11264822134387352,0.8305069981463269,0.7222222222222222,0.25691699604743085,0.7563090036015087,0.028591147183344545,0.0888888888888889
PRIME 2.1 (max),720,0.6095267998965683,0.7862811006045395,0.875,0.8388888888888889,0.875,0.12450592885375494,0.8773249182195141,0.8388888888888889,0.2984189723320158,0.8459784628948317,0.08350332282676176,0.17222222222222228
Random / Prevalence baseline,720,0.5,0.7027777777777777,0.7027777777777777,0.7027777777777777,,,,,,,0.0,0.0
