tool,n_peptides,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,delta_auc_pr_vs_prev,delta_issr10_vs_prev,subset
SESTRAV RF (30-feat),704,0.7255054358191875,0.8277665710862102,0.8428571428571429,0.8352272727272727,0.8428571428571429,0.12040816326530612,0.8764303203025572,0.8352272727272727,0.3,0.8522364930009023,0.12498879330843249,0.14007936507936514,intersection
Binding-only (max),704,0.6256818615296585,0.7896603969605329,0.8571428571428571,0.8238636363636364,0.8571428571428571,0.12244897959183673,0.8333253433064527,0.8238636363636364,0.29591836734693877,0.818533068783954,0.0868826191827552,0.15436507936507937,intersection
PredIG-Path,704,0.5093267213427427,0.7267886615044754,0.7857142857142857,0.7215909090909091,0.7857142857142857,0.11224489795918367,0.8258034422424267,0.7215909090909091,0.25918367346938775,0.7553293946838147,0.024010883726697685,0.08293650793650797,intersection
PRIME 2.1,704,0.6023269120732405,0.7771519546564367,0.8714285714285714,0.8181818181818182,0.8714285714285714,0.12448979591836734,0.8736899114954729,0.8181818181818182,0.2938775510204082,0.8292252899160152,0.07437417687865899,0.16865079365079372,intersection
Random / Prevalence baseline,704,0.5,0.7027777777777777,0.7027777777777777,0.7027777777777777,,,,,,,0.0,0.0,intersection
