tool,n_peptides,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,delta_auc_pr_vs_prev,delta_issr10_vs_prev,subset
SESTRAV RF (30-feat),253,0.5759146341463414,0.8362729649117884,0.8,0.8095238095238095,0.8,0.0975609756097561,0.8393782388829563,0.8095238095238095,0.24878048780487805,0.8169339631426155,0.13349518713401065,0.09722222222222232,overlap_only
Binding-only (max),253,0.5409552845528456,0.8264800277269827,0.76,0.8253968253968254,0.76,0.09268292682926829,0.8100151434374474,0.8253968253968254,0.25365853658536586,0.8335288060267445,0.12370224994920498,0.057222222222222285,overlap_only
PredIG-Path,253,0.4863313008130081,0.8142629269672677,0.8,0.8412698412698413,0.8,0.0975609756097561,0.8298589030139412,0.8412698412698413,0.25853658536585367,0.8503517446879774,0.11148514918948993,0.09722222222222232,overlap_only
PRIME 2.1,253,0.5616869918699186,0.8622522776103482,0.96,0.8888888888888888,0.96,0.11707317073170732,0.9705091760462663,0.8888888888888888,0.2731707317073171,0.9100035234150058,0.15947449983257045,0.25722222222222224,overlap_only
Random / Prevalence baseline,253,0.5,0.7027777777777777,0.7027777777777777,0.7027777777777777,,,,,,,0.0,0.0,overlap_only
