tool,n_peptides,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,delta_auc_pr_vs_prev,delta_issr10_vs_prev,subset
SESTRAV RF (30-feat),451,0.7703233988585922,0.8221368886773778,0.8444444444444444,0.8392857142857143,0.8444444444444444,0.13333333333333333,0.8811734534345014,0.8392857142857143,0.3298245614035088,0.8534073483972204,0.11935911089960005,0.14166666666666672,overlap_excluded
Binding-only (max),451,0.6288733882900021,0.7620232039787904,0.9555555555555556,0.8125,0.9555555555555556,0.15087719298245614,0.8983045239664161,0.8125,0.3192982456140351,0.8119161624587662,0.059245426201012696,0.2527777777777779,overlap_excluded
PredIG-Path,451,0.5295286408793067,0.68770989028769,0.8,0.6785714285714286,0.8,0.12631578947368421,0.8443449147773313,0.6785714285714286,0.26666666666666666,0.7269082096258377,-0.015067887490087695,0.09722222222222232,overlap_excluded
PRIME 2.1,451,0.6028852251109702,0.7200679724304048,0.8222222222222222,0.7410714285714286,0.8222222222222222,0.12982456140350876,0.8247233180562126,0.7410714285714286,0.2912280701754386,0.7599702430111531,0.017290194652627044,0.11944444444444446,overlap_excluded
Random / Prevalence baseline,451,0.5,0.7027777777777777,0.7027777777777777,0.7027777777777777,,,,,,,0.0,0.0,overlap_excluded
