tool,weighted_auc_pr,weighted_issr_10,weighted_auc_roc,ebv_n,hpv16_n
SESTRAV RF (30-feat),0.8260356719717796,0.8819444444444444,0.7066261189151992,470,250
Binding-only (max),0.8261986188261997,0.905531914893617,0.6662776358250438,470,250
PredIG-Path (max),0.7543475050877865,0.8123404255319149,0.5329478335454699,470,250
PRIME 2.1 (max),0.7910237364501771,0.8668085106382979,0.6127946373296226,470,250
