metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.8801582077533002,0.004342579095708839,0.873858748175634,0.0076581143262094776
auc_pr,0.8204540951558712,0.008592990077181317,0.8021836119306259,0.011747658713257218
issr_10,0.8876712328767123,0.016971933826525832,0.8657534246575344,0.015827698641494976
issr_25,0.8367495682985355,0.00715331239754737,0.8083103466319811,0.010721075088984726
precision_10,0.8876712328767123,0.016971933826525832,0.8657534246575344,0.015827698641494976
recall_10,0.195267770403392,0.0036702701939126735,0.19044667744073504,0.003436610567855813
ndcg_10,0.8950750250605809,0.01681228778103075,0.8707018653591725,0.014111754212814935
precision_25,0.8367495682985355,0.00715331239754737,0.8083103466319811,0.010721075088984726
recall_25,0.461051061820757,0.003997141246347064,0.44538114780145455,0.005954283168753457
ndcg_25,0.8482276462942485,0.007668355248248199,0.8198814290509386,0.010962137470845451
