feature,rf_importance,xgb_importance
bind_B4402,0.07734850679917436,0.0642116
bind_A1101,0.06719211731633794,0.0843251
bind_A2402,0.06485089198566141,0.04707907
bind_A0201,0.062136524297987286,0.030886235
bind_A0301,0.05953898613665528,0.026421223
bind_B0702,0.049840152395592696,0.03993553
bind_A0101,0.04892151607835336,0.032456033
bind_B2705,0.04721741542726494,0.029410139
bind_B0801,0.04548485165806449,0.025803301
bind_B3501,0.04418727817030623,0.02995834
p8_vdw_volume,0.037138541121792656,0.033981536
p5_vdw_volume,0.03710169097144829,0.028638745
p7_vdw_volume,0.03615858769625986,0.03114529
p4_vdw_volume,0.0361164390266067,0.028093224
p6_vdw_volume,0.03525032307267879,0.027278524
p4_hydrophobicity,0.03420778699744076,0.03169143
p6_hydrophobicity,0.03343613797216107,0.02552643
p5_hydrophobicity,0.032999641752063366,0.027934197
p8_hydrophobicity,0.03284375077698409,0.024183933
p7_hydrophobicity,0.03250105733381544,0.0252193
peptide_length,0.024945361563072064,0.05913053
p4_charge,0.008089292108529237,0.03105253
p5_charge,0.007629789547053662,0.028441884
p8_charge,0.0074335085963261015,0.02267068
p7_charge,0.00701815045652306,0.029465653
p6_charge,0.006418384534937586,0.021535914
p5_aromaticity,0.00514593332243175,0.026403962
p8_aromaticity,0.0050376741494230146,0.02250025
p6_aromaticity,0.005003209249396414,0.029152857
p7_aromaticity,0.004565581983434251,0.01847278
p4_aromaticity,0.004240917502223839,0.016993834
