method,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,issr_10_mean,issr_10_std,issr_25_mean,issr_25_std,issr_10_ratio_integrated_over_binding,issr_25_ratio_integrated_over_binding,issr_10_ratio_bootstrap_ci_low,issr_10_ratio_bootstrap_ci_high,issr_10_delta_fold_signflip_p_greater,issr_10_delta_fdr_corrected_p,binding_issr_10_mean,ratio_stable_binding_issr10_gte_0_08,ratio_ci_low_gte_2,h2_supported_ratio_gte_2_and_stable,model_path,model_sha256,feature_count,n_total_labeled,n_train_pool_after_gold_standard_holdout,n_gold_standard_held_out
binding_only_max,0.6636344384885182,0.0325649314574849,0.8548671778535601,0.013834969729075903,0.8947368421052632,0.06446025638903097,0.8828014184397164,0.011945901426316909,,,,,,,,,,,models/rf_30feature_integrated.joblib,9a7bd2051c85e360c89a59f2bb1b4688e64a316900422e0cf45ba5967bf711f3,30,1004,959,16
integrated_model,0.756311958176163,0.04979797430045791,0.8947853445150825,0.02073241838260593,0.9473684210526315,0.0372161463782393,0.9120567375886525,0.01797974191723817,,,,,,,,,,,models/rf_30feature_integrated.joblib,9a7bd2051c85e360c89a59f2bb1b4688e64a316900422e0cf45ba5967bf711f3,30,1004,959,16
h2_decision,,,,,,,,,1.0588235294117647,1.0331391845752158,0.9777777777777779,1.121951219512195,0.1875,0.1875,0.8947368421052632,1.0,0.0,0.0,models/rf_30feature_integrated.joblib,9a7bd2051c85e360c89a59f2bb1b4688e64a316900422e0cf45ba5967bf711f3,30,1004,959,16
