tool,virus,n,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25
SESTRAV RF (30-feat),EBV,459,0.7586327629217908,0.8349877713526959,0.8888888888888888,0.8245614035087719,0.8888888888888888,0.12779552715654952,0.9043026416132907,0.8245614035087719,0.3003194888178914,0.8455660748753818
Binding-only (max),EBV,470,0.6130982580754271,0.7815232063719748,0.851063829787234,0.811965811965812,0.851063829787234,0.12345679012345678,0.8483481220931028,0.811965811965812,0.2932098765432099,0.8194315159219161
SESTRAV RF (30-feat),HPV16,245,0.6546194749086075,0.8170835725908633,0.875,0.8360655737704918,0.875,0.11864406779661017,0.8892819099085286,0.8360655737704918,0.288135593220339,0.848394194084483
Binding-only (max),HPV16,250,0.7194570135746606,0.8708740312804246,0.96,0.9193548387096774,0.96,0.13186813186813187,0.9685236837048788,0.9193548387096774,0.3131868131868132,0.9322242393670317
