test_virus,auc_pr,auc_roc,issr_10,issr_25,n_train_viral,n_train_decoy,n_train_pos,n_train_neg,n_test_total,n_test_pos,n_test_neg,pos_rate_test
HIV-1,0.8332,0.6365,0.9463,0.9368,42779,5000,6073,41706,3358,2602,756,0.775
DENV,0.7956,0.8695,0.8432,0.8423,44282,5000,7846,41436,1855,829,1026,0.447
EBV,0.7216,0.8238,0.6944,0.7403,45449,5000,8365,42084,727,340,387,0.468
SARS-CoV-2,0.6481,0.5407,0.575,0.6327,41736,5000,5857,40879,4401,2818,1583,0.64
CMV,0.6391,0.6655,0.7547,0.6448,44546,5000,7910,41636,1591,765,826,0.481
HBV,0.6253,0.5361,0.5833,0.5987,45529,5000,8306,42223,608,369,239,0.607
IAV,0.6224,0.7845,0.6957,0.6623,45213,5000,8326,41887,924,349,575,0.378
HCV,0.5473,0.5262,0.5139,0.5111,45415,5000,8285,42130,722,390,332,0.54
HPV,0.5095,0.4491,0.4324,0.4255,45768,5000,8478,42290,378,204,174,0.54
