comparison,n_bootstrap,seed,comparator,n_paired,n_pos,n_neg,ap_sestrav,ap_comparator,delta_auc_pr,ci95_low,ci95_high,p_two_sided,ci_includes_zero
rf_vs_bigmhc,10000,20260719,BigMHC,704,490,214,0.8278,0.81,0.0178,-0.0216,0.0578,0.3728,True
rf_vs_binding_only,10000,20260719,MHCflurry binding-only,704,490,214,0.8278,0.7897,0.0381,0.0018,0.0712,0.0384,False
