dataset,method,n_samples,positive_rate,brier_score,trivial_brier,brier_skill_score
v2,RandomForest,704,0.6960227272727273,0.19906365176105575,0.211575090392562,0.05913474316987033
v1,RandomForest,912,0.8453947368421053,0.0960296875,0.13070247576177282,0.2652802715456576
