feature,rf_importance,xgb_importance
bind_A0201,0.06595998558374705,0.037517913
bind_A0301,0.06308048742243977,0.028930623
bind_A2402,0.06222810370337643,0.028855227
bind_B3501,0.062154457497725794,0.036419075
bind_A1101,0.061012243908174765,0.03184369
bind_A0101,0.05650298941628283,0.0291321
bind_B2705,0.056376565199362225,0.026530705
bind_B0801,0.055501603877651955,0.026582893
bind_B0702,0.05543764867366964,0.023996957
bind_B4402,0.054558091773531124,0.027879586
p7_vdw_volume,0.034418405302949255,0.032516908
p6_hydrophobicity,0.033965007759488894,0.026941543
p8_vdw_volume,0.0335013706631208,0.029969208
p6_vdw_volume,0.03326140955155541,0.031286296
p7_hydrophobicity,0.03255965286223275,0.030686477
p5_vdw_volume,0.03238731570591061,0.028059928
p4_vdw_volume,0.032301825895992384,0.027609745
p8_hydrophobicity,0.0315982448846172,0.031062474
p5_hydrophobicity,0.031395078744890344,0.026327174
p4_hydrophobicity,0.030120107250090296,0.028294027
peptide_length,0.021035782436049186,0.046409804
p4_charge,0.00828800270588987,0.020745864
p5_charge,0.007265642013959725,0.029581534
p7_charge,0.007141727312400089,0.04261709
p6_charge,0.006974101750099732,0.048028946
p8_charge,0.006436890520721337,0.03707125
p7_aromaticity,0.005274023604265513,0.040658887
p4_aromaticity,0.0052267118443855305,0.056454714
p5_aromaticity,0.004812299579493016,0.03148786
p6_aromaticity,0.004675042104431489,0.02089414
p8_aromaticity,0.004549180451495082,0.0356073
