subset,tool,score_column,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,brier_score,n_samples,n_positive,n_negative
all,rf,rf_oof_score,0.7255054358191875,0.8277665710862102,0.8428571428571429,0.8352272727272727,0.8428571428571429,0.12040816326530612,0.8764303203025572,0.8352272727272727,0.3,0.8522364930009023,0.1750083096590909,704,490,214
all,binding,binding_max,0.6256818615296585,0.7896603969605329,0.8571428571428571,0.8238636363636364,0.8571428571428571,0.12244897959183673,0.8333253433064527,0.8238636363636364,0.29591836734693877,0.818533068783954,0.3432616706220087,704,490,214
