feature,rf_importance,xgb_importance
hla_p31_aromaticity,0.0,0.0
hla_p31_charge,0.0,0.0
hla_p32_hydrophobicity,0.0,0.0
hla_p32_aromaticity,0.0,0.0
hla_p32_vdw_volume,0.0,0.0
hla_p32_charge,0.0,0.0
hla_p33_hydrophobicity,0.0,0.0
hla_p33_aromaticity,0.0,0.0
hla_p33_vdw_volume,0.0,0.0
hla_p33_charge,0.0,0.0
hla_p34_hydrophobicity,0.0,0.0
hla_p34_aromaticity,0.0,0.0
hla_p34_vdw_volume,0.0,0.0
hla_p34_charge,0.0,0.0
