metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.9711677059002968,0.0014295273465681697,0.937543101226557,0.002977223462009817
auc_pr,0.8660966609286795,0.007290710656631261,0.8089400715880901,0.012221244123776398
issr_10,0.8878402903811253,0.011671822280082388,0.8678765880217787,0.013888295077828672
issr_25,0.5823060188542423,0.0015211150807398757,0.5415518491660624,0.0023114398042798053
precision_10,0.8878402903811253,0.011671822280082388,0.8678765880217787,0.013888295077828672
recall_10,0.5840523177731585,0.007872772910028327,0.5709204084367685,0.009346598556019813
ndcg_10,0.9068178970075078,0.010055666324611775,0.8784494328633775,0.015219186831264386
precision_25,0.5823060188542423,0.0015211150807398757,0.5415518491660624,0.0023114398042798053
recall_25,0.9586923978409081,0.0027714094059513804,0.8915974485533343,0.004303774117551876
ndcg_25,0.9496988753052126,0.002221589552618879,0.8887158876621969,0.005672398868692449
