metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.9759679049994127,0.0006851620351573034,0.9449278900614233,0.002699034400367621
auc_pr,0.889738352647154,0.0011185459346381974,0.8376715998164901,0.007911900191974392
issr_10,0.9162011173184357,0.006557473691493087,0.8983240223463687,0.011455163127917853
issr_25,0.6047619047619047,0.001962932434266798,0.559375,0.0014427618623262626
precision_10,0.9162011173184357,0.006557473691493087,0.8983240223463687,0.011455163127917853
recall_10,0.5880968713736117,0.004493574102739579,0.5766227641439865,0.00758640128361253
ndcg_10,0.930933107654778,0.005389292006545852,0.9095621678635929,0.012530589413880465
precision_25,0.6047619047619047,0.001962932434266798,0.559375,0.0014427618623262626
recall_25,0.9715505364911138,0.002778308549367208,0.8986369067014228,0.0020762499100867755
ndcg_25,0.9630395428225746,0.0019161548016656327,0.9012900640823552,0.004116647704700128
